ciptd,cipsd,cipm,dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft,dcpd(dependent)
1,1,-6,-0.17999649,1.840000153,-10.05499268,0,0,-33.47091245,-8.049239031,-0.25
3,2,3,0.350000024,0.269999981,0.179999948,0,0,-33.47091245,-8.049239031,-0.049999952
3,4,4,0.190000057,0.200000286,-0.209999561,0,0,-33.47091245,-8.049239031,-0.029999971
1,1,0,-0.260000229,-0.229999542,-0.019997597,0,0,-33.47091245,-8.049239031,-0.429999352
1,1,-4,0.690000534,1.06000042,-0.270002365,0,0,-33.47091245,-8.049239031,-0.369998932
3,3,-4,0.160000086,0.261000156,-0.323999882,0,0,-33.47091245,-8.049239031,-0.140000105
3,1,4,4.650001526,1.680000305,4.620002747,0,0,-33.47091245,-8.049239031,-0.680000305
1,3,0,1.689987183,4.429977417,11.03997803,0,0,-33.47091245,-8.049239031,-0.600006104
3,5,8,5.850006104,9.460006714,14.62001038,0,0,-33.47091245,-8.049239031,-1.300003052
1,1,-2,0.250001907,0.420003891,-0.719997406,0,0,-33.47091245,-8.049239031,-0.239999771
3,5,4,6.060009003,7.400009155,1.170005798,0,0,-33.47091245,-8.049239031,1.069999695
3,3,2,1.880004883,0.940002441,1.440006256,0,0,-33.47091245,-8.049239031,-0.819999695
3,5,2,0.829999924,1.350000381,0.660005569,0,0,-33.47091245,-8.049239031,-0.189998627
-1,1,8,-1.589996338,-2.339996338,7.089996338,0,0,-33.47091245,-8.049239031,0
1,1,2,0.470001221,0.63999939,0.390075684,0,0,-33.47091245,-8.049239031,-0.970001221
3,1,-6,1.61000061,0.849998474,-2.54000473,0,0,-33.47091245,-8.049239031,-0.17999649
1,-1,12,-0.090000153,-0.729999542,3.750003338,0,0,-33.47091245,-8.049239031,-0.409999847
3,5,14,1.720000267,1.829999924,5.259999275,0,0,-33.47091245,-8.049239031,-0.130000114
1,-1,0,0.300000191,-0.429999828,1.619999886,0,0,-33.47091245,-8.049239031,-0.299999714
-1,-1,2,-0.03000021,0.00999999,0.089999914,0,0,-33.47091245,-8.049239031,-0.00999999
1,1,2,3.270019531,4.980010986,-5.490005493,0,0,-33.47091245,-8.049239031,-1
1,1,10,0.029999971,0.00999999,0.509999752,0,0,-33.47091245,-8.049239031,-0.059999943
1,1,-4,0.760005951,0.820007324,-2.329990387,0,0,-33.47091245,-8.049239031,-0.529998779
3,5,6,16.67999268,25.55003357,44.21005249,0,0,-33.47091245,-8.049239031,-3.459991455
3,5,2,8.279998779,9.940002441,2.210014343,0,0,-33.47091245,-8.049239031,-4.339996338
3,5,0,1.050000191,1.179999352,-0.529998779,0,0,-33.47091245,-8.049239031,-0.079999924
3,3,4,0.57999897,0.479998589,1.059995174,0,0,-33.47091245,-8.049239031,-0.239999771
3,3,4,4.810005188,5.130004883,5.80002594,0,0,-33.47091245,-8.049239031,-2.800003052
3,5,9,1.720001221,2.79000473,2.770004272,0,0,-33.47091245,-8.049239031,-0.099998474
3,1,6,0.139999866,0.00999999,0.400000095,0,0,-33.47091245,-8.049239031,-0.169999838
1,1,3,2.220001221,2.799995422,1.215995789,0,0,-33.47091245,-8.049239031,0
3,1,-10,3.190006256,3.460010529,-1.919979095,0,0,-33.47091245,-8.049239031,-0.490001678
-1,-3,3,-0.109999657,-0.449999809,4.310004234,0,0,-33.47091245,-8.049239031,-0.600000381
1,3,1,0.039999962,0.210000157,-0.080000162,0,0,-33.47091245,-8.049239031,-0.110000014
0,1,3,0,0.590000153,1.539999008,0,0,-33.47091245,-8.049239031,0
3,7,4,0.209999084,0.600006104,-0.059997559,0,0,-33.47091245,-8.049239031,-0.040000916
1,-1,4,0.609999657,-0.610001564,3.704997063,0,0,-33.47091245,-8.049239031,-0.359999657
3,5,9,0.370000362,0.440000057,-0.229998589,0,0,-33.47091245,-8.049239031,-0.119999886
-1,1,3,0.159999847,0.440000534,0.889996529,0,0,-33.47091245,-8.049239031,-0.079999924
1,4,-3,0.029999971,0.250000119,-0.579999804,0,0,-33.47091245,-8.049239031,-0.120000005
1,3,7,0.129997253,-0.170001984,5.529999733,0,0,-33.47091245,-8.049239031,-0.180000305
1,1,-2,0.559993744,-0.29000473,-1.040000916,0,0,-33.47091245,-8.049239031,-0.330001831
3,3,-3,0.535001755,0.429000854,-0.300998688,0,0,-33.47091245,-8.049239031,0.305000305
0,1,6,0,0.020000458,0.108896255,0,0,-33.47091245,-8.049239031,0
1,3,7,0.17000103,0.420001984,-0.149995804,0,0,-33.47091245,-8.049239031,0.010000229
-1,1,4,0.11000061,2.590011597,9.990028381,0,0,-33.47091245,-8.049239031,-0.200004578
1,5,-2,0.119999886,0.579999924,-1.019999027,0,0,-33.47091245,-8.049239031,-0.260000229
-1,-1,-3,-0.369998932,-0.509998322,-2.760000229,0,0,-33.47091245,-8.049239031,0.149999619
1,-1,0,0.049999952,-0.070000172,1.002000093,0,0,-33.47091245,-8.049239031,-0.029999971
1,-1,-4,0.500001907,-0.259998322,-0.370000839,0,0,-33.47091245,-8.049239031,-0.079999924
3,5,6,8.29000473,10.45000458,6.550010681,0,0,-33.47091245,-8.049239031,-2.729995728
3,5,0,4.660011292,4.910011292,2.500022888,0,0,-33.47091245,-8.049239031,-0.720001221
1,3,7,0.089998245,0.839998245,2.594997406,0,0,-33.47091245,-8.049239031,-0.859999657
3,3,4,16.14001465,15.33999634,28.17001343,0,0,-33.47091245,-8.049239031,0.510009766
0,2,-5,-0.019999981,0.00999999,0.039999992,0,0,-33.47091245,-8.049239031,-0.020000011
3,2,-3,0.509999275,0.489998817,-0.650000572,0,0,-33.47091245,-8.049239031,-0.11000061
-1,-3,-2,0.589999199,0.71999836,2.149996758,0,0,-33.47091245,-8.049239031,-0.880000114
-1,-4,-7,-0.019999996,-0.060000002,-0.090000004,0,0,-33.47091245,-8.049239031,-0.019999996
-1,-3,5,-0.009999752,-0.230000019,0.940000057,0,0,-33.47091245,-8.176444773,0
