,name_of_stock,cipd(dependent),ciptd,cipsd,cipm,dcpd(dependent),dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft
0,AA,-1,1,1,-6,-0.25,-0.17999649047851562,1.8400001525878906,-10.05499267578125,0,2,-34.4709124534109,-8.154784915679148
1,AACG,-1,3,2,3,-0.04999995231628418,0.3500000238418579,0.26999998092651367,0.1799999475479126,0,0,-34.4709124534109,-8.154784915679148
2,AAIC,-1,3,4,4,-0.029999971389770508,0.19000005722045898,0.20000028610229492,-0.20999956130981445,0,0,-34.4709124534109,-8.154784915679148
3,AAL,-1,1,1,0,-0.42999935150146484,-0.26000022888183594,-0.22999954223632812,-0.019997596740722656,0,0,-34.4709124534109,-8.154784915679148
4,AAN,-1,1,1,-4,-0.3699989318847656,0.6900005340576172,1.0600004196166992,-0.25900110461554604,0,0,-34.4709124534109,-8.154784915679148
5,AAOI,-1,3,3,-4,-0.1400001049041748,0.16000008583068848,0.2610001564025879,-0.32399988174438477,0,0,-34.4709124534109,-8.154784915679148
6,AAON,-1,3,1,4,-0.6800003051757812,4.650001525878906,1.6800003051757812,4.620002746582031,0,0,-34.4709124534109,-8.154784915679148
7,AAP,-1,1,3,0,-0.600006103515625,1.6899871826171875,4.4299774169921875,11.08142004576689,0,0,-34.4709124534109,-8.154784915679148
8,AAPL,-1,3,5,8,-1.3000030517578125,5.850006103515625,9.460006713867188,14.620010375976562,2,5,-34.4709124534109,-8.154784915679148
9,AAT,-1,1,1,-2,-0.23999977111816406,0.2500019073486328,0.42000389099121094,-0.7199974060058594,0,0,-34.4709124534109,-8.154784915679148
10,AAWW,1,3,5,4,1.0699996948242188,6.060009002685547,7.4000091552734375,1.1700057983398438,0,0,-34.4709124534109,-8.154784915679148
11,AB,-1,3,3,2,-0.8199996948242188,1.8800048828125,0.94000244140625,1.4400062561035156,0,0,-34.4709124534109,-8.154784915679148
12,ABB,-1,3,5,2,-0.18999862670898438,0.8299999237060547,1.3500003814697266,0.6600055694580078,0,0,-34.4709124534109,-8.154784915679148
13,ABBV,0,-1,1,8,0.0,-1.589996337890625,-2.3413863605775873,7.001216981988449,0,1,-34.4709124534109,-8.154784915679148
